0	1.08	15,6	1016,4
3	1.08	15,6	1017,1
6	1.08	23,1	1017,1
9	1.08	25,4	1016,8
12	1.08	26,6	1016,5
15	1.08	27,8	1015,8
18	1.08	21,6	1016,6
21	1.08	19	1017,1
0	2.08	17,3	1017,3
3	2.08	17,9	1017,1
6	2.08	25,8	1016,3
9	2.08	28,8	1015,4
12	2.08	30,5	1014,9
15	2.08	29,9	1013,8
18	2.08	23,5	1015,3
21	2.08	21,4	1017
0	3.08	18,8	1018
3	3.08	17,2	1019,4
6	3.08	20	1020,2
9	3.08	23,1	1020,2
12	3.08	23,7	1019,9
15	3.08	24,3	1019,2
18	3.08	19,9	1019,9
21	3.08	15,5	1020,9
0	4.08	13,9	1021,5
3	4.08	14,2	1021,7
6	4.08	22,3	1021,2
9	4.08	24,4	1020,3
12	4.08	25,5	1019,4
15	4.08	25,2	1018,3
18	4.08	19,3	1018,9
21	4.08	17	1019,1
0	5.08	15,8	1018,9
3	5.08	17,2	1018,8
6	5.08	23,7	1018,2
9	5.08	25,6	1017,7
12	5.08	27,9	1016,8
15	5.08	27,5	1016,4
18	5.08	22	1017
21	5.08	18,6	1017,4
0	6.08	16,7	1017
3	6.08	17,8	1016,3
6	6.08	24,8	1015,7
9	6.08	28	1014,1
12	6.08	29,8	1013
15	6.08	29,6	1011,8
18	6.08	24,4	1012,9
21	6.08	24,6	1012,1
0	7.08	20,2	1012,1
3	7.08	20,5	1012,3
6	7.08	25,7	1011,4
9	7.08	28,9	1010,9
12	7.08	28,8	1009,3
15	7.08	27,9	1009,2
18	7.08	24,7	1010,1
21	7.08	23,4	1011,1
0	8.08	20,3	1012,1
3	8.08	19,2	1013,5
6	8.08	22,2	1014,2
9	8.08	24	1014,3
12	8.08	24,6	1013,6
15	8.08	23,8	1013,4
18	8.08	20	1014,6
21	8.08	20,3	1015,4
0	9.08	17,3	1015,7
3	9.08	16	1016,4
6	9.08	19,1	1017
9	9.08	21,2	1017,5
12	9.08	22	1018
15	9.08	21,3	1018,5
18	9.08	17,5	1020
21	9.08	14	1021,1
0	10.08	11,9	1021,9
3	10.08	12,8	1022,3
6	10.08	20,8	1022
9	10.08	22,5	1021,5
12	10.08	24,2	1019,9
15	10.08	24,2	1018,1
18	10.08	20,4	1018
21	10.08	17,8	1017,7
0	11.08	17,1	1017,1
3	11.08	16,5	1016,3
6	11.08	22,7	1014,2
9	11.08	25,1	1012,8
12	11.08	25,6	1011,2
15	11.08	18	1010,8
18	11.08	17,6	1010
21	11.08	17,1	1009,1
0	12.08	16,1	1008,7
3	12.08	15,1	1009,8
6	12.08	16,1	1010,8
9	12.08	15,8	1012,1
12	12.08	16,2	1013,6
15	12.08	16,8	1014,4
18	12.08	14,8	1015,7
21	12.08	12,9	1015,9
0	13.08	12	1015,1
3	13.08	11,3	1015
6	13.08	12,6	1015,4
9	13.08	13,6	1015,6
12	13.08	13,8	1016,3
15	13.08	14,3	1016,7
18	13.08	13,2	1017,1
21	13.08	12,5	1017,2
0	14.08	10,7	1016,9
3	14.08	9,7	1016,3
6	14.08	12,7	1016
9	14.08	16	1014,8
12	14.08	17,1	1014,6
15	14.08	15,9	1015,4
18	14.08	14,2	1016,2
21	14.08	12,8	1016,4
0	15.08	11,7	1016,3
3	15.08	9,3	1016,1
6	15.08	14,9	1015,6
9	15.08	18	1014,4
12	15.08	20,1	1013,7
15	15.08	18,3	1013,6
18	15.08	16	1013,8
21	15.08	15	1013,4
0	16.08	14,8	1013,3
3	16.08	14,3	1013,2
6	16.08	17,9	1011,6
9	16.08	21,8	1010,4
12	16.08	24,2	1009,2
15	16.08	23	1008,7
18	16.08	21,2	1007,9
21	16.08	19,4	1006,4
0	17.08	20,5	1005,3
3	17.08	17,3	1004,8
6	17.08	18,1	1004,1
9	17.08	21,9	1004,2
12	17.08	23,1	1004,2
15	17.08	22,8	1004,1
18	17.08	17,9	1004,9
21	17.08	16,1	1005,5
0	18.08	13,7	1005,9
3	18.08	12,7	1006,4
6	18.08	19	1006,2
9	18.08	21,1	1005,8
12	18.08	22,9	1005,1
15	18.08	21,9	1003,9
18	18.08	20,5	1003

